a,b,lambda1,lambda2,lambda3,lambda4
0.500,0.026,16237.380417329427,18491.212726764465,20211.022548472247,21891.939777253923
0.5,0.03,12352.922350183206,14223.002184037823,15752.85238122839,17147.249771163355
0.5,0.04,7121.647214775415,8439.116502021427,9493.431384679614,10520.97279074619
0.5,0.05,4665.421789550451,5672.789788978363,6485.21792121425,7297.0100478669165
0.5,0.06,3312.692377734088,4123.9731878616385,4786.745929228078,5458.299525546387
0.5,0.07,2486.319661203576,3163.536582635812,3724.1354392414733,4298.422105824165
0.5,0.08,1943.2723429485766,2523.6032961055953,3010.066033735834,3513.2876069501312
0.5,0.09,1566.5209589286278,2073.8737040037117,2504.1715745900096,2953.337526056992
0.5,0.1,1293.951406884027,1744.541892017022,2130.8701450968642,2537.606108909038
0.5,0.11,1090.0612429052255,1495.3579907725182,1846.3569654007956,2218.942975867899
0.5,0.12,933.3380984148009,1301.7299850003874,1623.7336334001056,1968.2667425601662
0.5,0.13,810.1157134063377,1147.9114445552482,1445.693418007195,1766.788199424936
0.5,0.14,711.3662190869227,1023.4215724695216,1300.6631152525804,1601.8934489427663
0.5,0.15,630.9265654309185,921.0534539161007,1180.6486529268982,1464.8372086372358
0.5,0.16,564.4697960917243,835.7118675987676,1079.9734855309223,1349.387666807479
0.5,0.17,508.8836156645355,763.7071906233676,994.5094184270328,1250.9977452008452
0.5,0.18,461.88165213455767,702.3112488443745,921.1911344451572,1166.280502395219
0.5,0.19,421.7527864183963,649.46937769565,857.700424215112,1092.6669622472634
0.5,0.2,387.1951477857583,603.6087448054136,802.2553055059658,1028.176989182367
0.5,0.21,357.2035561509692,563.5077287094333,753.465864451709,971.2622557790806
0.5,0.22,330.99158284060644,528.2050274676824,710.2336374016684,920.6963692481762
0.5,0.23,307.93655555545405,496.9352176332651,671.6800620134431,875.4965553077484
0.5,0.24,287.54008746772047,469.0822880821891,637.0947392293236,834.8668948125937
0.5,0.25,269.3993079366676,444.1456178722972,605.8974511652627,798.1565543689057
0.5,0.26,253.18559659278276,421.71471559929154,577.609895858925,764.828624440902
0.5,0.27,238.62866040223926,401.450223101158,551.834396231593,734.4365774983257
0.5,0.28,225.5044696762073,383.0694616469868,528.2376909406327,706.6062775381766
0.5,0.29,213.62601776927727,366.3353149914457,506.53848256774296,681.0220865467768
0.5,0.3,202.83617195852116,351.0475931433464,486.4978036154828,657.4160308607028
0.5,0.31,193.00209036954146,337.03626088818487,467.9115250242411,627.3670045723721
0.5,0.32,184.0108238808879,324.15608252322613,450.6045143336879,597.267101578456
0.5,0.33,175.76582334094383,312.2823524910054,434.42607601732794,569.8770973991489
0.5,0.34,168.18414467969646,301.30746610306045,419.2463911240616,544.9126132213671
0.5,0.35,161.1941965627475,291.13814563669973,404.953728500363,522.1251303421941
0.5,0.36,154.73391315419897,281.6931817191801,391.4522346476844,501.2963175079078
0.5,0.37,148.74926245012827,272.9015828464687,378.6601323163621,482.2331214953159
0.5,0.38,143.19302135576896,264.7010504096551,366.5081779338628,464.76363606618224
0.5,0.39,138.02376419499893,257.03671502928785,354.9382527221523,448.7337262353023
0.5,0.4,133.20502305843468,249.86008395535654,343.90199658703517,434.00435978580975
0.5,0.41,128.70458731787537,243.12815994782446,333.35943689685325,420.4495718239622
0.5,0.42,124.4939164753955,236.80270024741094,323.27760955354586,407.95496105694957
0.5,0.43,120.54764579888575,230.8495905933658,313.6292073306254,396.4165958072252
0.5,0.44,116.84316830368303,225.23831419327684,304.39131157507506,385.74020141193324
0.5,0.45,113.36027985279397,219.94149943106643,295.54426474447206,375.84051176622347
0.5,0.46,110.08087667839709,214.93453316333708,287.07072623786576,366.640693171332
0.5,0.47,106.9886966287852,210.19522888518318,278.95493038644116,358.0717808051094
0.5,0.48,104.06909703894584,205.7035409870815,271.1821417162912,350.07209891805104
0.5,0.49,101.30886339790172,201.4413178809044,263.7382845973505,342.5866596168167
0.5,0.5,98.69604401099562,197.39208802763844,256.6097144654027,335.56654974427084
0.5,0.51,96.21980668374971,193.54087391569436,249.78309531249317,328.9683217273006
0.5,0.52,93.87031412598247,189.87402986545234,243.24535090801066,322.75340467577905
0.5,0.53,91.63861532290434,186.37910021136906,236.98366279376572,316.88754905187227
0.5,0.54,89.51655056841334,183.0446949672894,230.9854945238958,311.340313959414
0.5,0.55,87.49666822442069,179.86038053745298,225.2386276416911,306.0846018663625
0.5,0.56,85.57215157418084,176.81658341332889,219.7311998865046,301.0962420502715
0.5,0.57,83.736754389471,173.9045051099908,214.45173993870938,296.35362146884194
0.5,0.58,81.9847440407241,171.11604685694553,209.38919572541337,291.83736006251974
