a,b,lambda1,lambda2,lambda3,lambda4
0.500, 0.025, 17513.390254340316, 19880.46147094492, 21682.355892223928, 23441.024433636667
0.500, 0.030, 12329.267739661569, 14215.409276366929, 15667.939466694335, 17095.340323719163
0.500, 0.035, 9176.6832128752158, 10735.817919709021, 11949.442850929061, 13149.711029876027
0.500, 0.040, 7114.0027214540023, 8437.8445636388024, 9478.6524424038016, 10514.223147257062
0.500, 0.045, 5688.946371635071, 6836.2084743593941, 7746.6643168227483, 8657.7389503658396
0.500, 0.050, 4662.093416192627, 5672.4455135629869, 6481.3485285643483, 7295.2384384410025
0.500, 0.055, 3896.9410229759924, 4798.3515094609975, 5526.0719384282293, 6262.1315765931367
0.500, 0.060, 3310.9880321864216, 4123.8538802169815, 4785.29858022809, 5457.7130220353938
0.500, 0.065, 2851.9458517336038, 3591.5693445617926, 4197.9535659996582, 4817.4141711722414
0.500, 0.070, 2485.3580692282253, 3163.4883604609886, 3723.450282676979, 4298.2032152200363
0.500, 0.075, 2187.7543207775916, 2813.5958048017173, 3333.9208173944558, 3870.453955353642
0.500, 0.080, 1942.6941845971037, 2523.5816793187537, 3009.6914159756975, 3513.1963347848587
0.500, 0.085, 1738.3778050871304, 2280.2443726495358, 2736.5351019811869, 3211.2279957976243
0.500, 0.090, 1566.1568491907788, 2073.8633156662281, 2503.9469230318114, 2953.2957107915654
0.500, 0.095, 1419.5705308694439, 1897.1472131783289, 2304.0245668841999, 2730.9152922466469
0.500, 0.100, 1293.7145918772574, 1744.536678833869, 2130.726995831099, 2537.5855247528266
0.500, 0.105, 1184.8095405527949, 1611.7301375593343, 1979.3674122137033, 2368.2516626015804
0.500, 0.110, 1089.9030880615533, 1495.3552881171686, 1846.2615395157829, 2218.9322655220744
0.500, 0.115, 1006.664786813813, 1392.7366451647308, 1728.4803742835234, 2086.4541371111718
0.500, 0.120, 933.23062797549369, 1301.7285654453283, 1623.6680430474737, 1968.2609784627832
0.500, 0.125, 868.09752647924915, 1220.5932976869265, 1529.912431928879, 1862.2734606231795
0.500, 0.130, 810.04147007567985, 1147.910699781818, 1445.6471371559451, 1766.7850230669692
0.500, 0.135, 758.05740449810389, 1082.5105584009477, 1369.5783907714256, 1680.3835428874231
0.500, 0.140, 711.31429783994383, 1023.4211865325173, 1300.629796751748, 1601.89168935662
0.500, 0.145, 669.11889389619489, 969.83006982683048, 1237.8988352052395, 1530.3210187889349
0.500, 0.150, 630.88984350419958, 921.05326722550456, 1180.6242395927572, 1464.8362436186335
0.500, 0.155, 596.13693321803714, 876.51160589278425, 1128.1602347104656, 1404.727324037013
0.500, 0.160, 564.44367511981545, 835.71179029151813, 1079.9553929850119, 1349.3871695614798
0.500, 0.165, 535.45452560791603, 798.23146026181621, 1035.5365296816237, 1298.2940969052838
0.500, 0.170, 508.86484896559978, 763.70716968848762, 994.49580876165214, 1250.9975185328994
0.500, 0.175, 484.41187389485589, 731.82471653609764, 956.47976475810935, 1207.1065196376178
0.500, 0.180, 461.86819518977677, 702.31126044233088, 921.18086720302063, 1166.2804378445746
0.500, 0.185, 441.0360851364037, 674.9289061456617, 888.33036744885919, 1128.2211977500499
0.500, 0.190, 421.74306253767969, 649.46940769642686, 857.69258913004649, 1092.6669938801533
0.500, 0.195, 403.83800742911558, 625.74980150806448, 829.06000223029298, 1059.3870117651095
0.500, 0.200, 387.18809083483569, 603.60877995316491, 802.24927424325597, 1028.1770786463323
0.500, 0.205, 371.67613074819423, 582.90364471210933, 777.09786036202331, 998.85597814948346
0.500, 0.210, 357.19843481376995, 563.50776617566635, 753.46120428914139, 971.26237548086124
0.500, 0.215, 343.66299541295007, 545.3084396831639, 731.21038534757383, 945.25221813316068
