i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
1,0.98313052339649154,1.0009999999999999,0.026071902815524406,0.026545567668210895,0.002633,1,0.002633,0,-,-
2,0.96673961915725626,0.98313052339649154,0.026545567668210895,0.026995426400139768,0.002639,1,0.002639,0,-,-
3,0.98313052339649154,1.0009999999999999,0.026545567668210895,0.026995426400139768,0.002669,1,0.002669,0,-,-
4,0.95047821377382835,0.96673961915725626,0.026995426400139768,0.027457051740752362,0.002647,1,0.002647,0,-,-
5,0.96673961915725626,0.98313052339649154,0.026995426400139768,0.027457051740752362,0.002675,1,0.002675,0,-,-
6,0.98313052339649154,1.0009999999999999,0.026995426400139768,0.027457051740752362,0.002708,1,0.002708,0,-,-
7,0.93565413736122083,0.95047821377382835,0.027457051740752362,0.027891844893416114,0.002653,1,0.002653,0,-,-
8,0.95047821377382835,0.96673961915725626,0.027457051740752362,0.027891844893416114,0.002681,1,0.002681,0,-,-
9,0.96673961915725626,0.98313052339649154,0.027457051740752362,0.027891844893416114,0.002712,1,0.002712,0,-,-
10,0.98313052339649154,1.0009999999999999,0.027457051740752362,0.027891844893416114,0.002747,1,0.002747,0,-,-
11,0.92137462356982991,0.93565413736122083,0.027891844893416114,0.02832388482500978,0.002653,1,0.002653,0,-,-
12,0.93565413736122083,0.95047821377382835,0.027891844893416114,0.02832388482500978,0.002686,1,0.002686,0,-,-
13,0.95047821377382835,0.96673961915725626,0.027891844893416114,0.02832388482500978,0.002716,1,0.002716,0,-,-
14,0.96673961915725626,0.98313052339649154,0.027891844893416114,0.02832388482500978,0.002749,1,0.002749,0,-,-
15,0.98313052339649154,1.0009999999999999,0.027891844893416114,0.02832388482500978,0.002787,1,0.002787,0,-,-
16,0.90722908779059752,0.92137462356982991,0.02832388482500978,0.02876526975187112,0.002655,1,0.002655,0,-,-
17,0.92137462356982991,0.93565413736122083,0.02832388482500978,0.02876526975187112,0.002687,1,0.002687,0,-,-
18,0.93565413736122083,0.95047821377382835,0.02832388482500978,0.02876526975187112,0.002722,1,0.002722,0,-,-
19,0.95047821377382835,0.96673961915725626,0.02832388482500978,0.02876526975187112,0.002754,1,0.002754,0,-,-
20,0.96673961915725626,0.98313052339649154,0.02832388482500978,0.02876526975187112,0.002790,1,0.002790,0,-,-
21,0.98313052339649154,1.0009999999999999,0.02832388482500978,0.02876526975187112,0.002829,1,0.002829,0,-,-
22,0.89332671584406187,0.90722908779059752,0.02876526975187112,0.029212675765805728,0.002656,1,0.002656,0,-,-
23,0.90722908779059752,0.92137462356982991,0.02876526975187112,0.029212675765805728,0.002688,1,0.002688,0,-,-
24,0.92137462356982991,0.93565413736122083,0.02876526975187112,0.029212675765805728,0.002723,1,0.002723,0,-,-
25,0.93565413736122083,0.95047821377382835,0.02876526975187112,0.029212675765805728,0.002759,1,0.002759,0,-,-
26,0.95047821377382835,0.96673961915725626,0.02876526975187112,0.029212675765805728,0.002794,1,0.002794,0,-,-
27,0.96673961915725626,0.98313052339649154,0.02876526975187112,0.029212675765805728,0.002832,1,0.002832,0,-,-
28,0.98313052339649154,1.0009999999999999,0.02876526975187112,0.029212675765805728,0.002875,1,0.002875,0,-,-
29,0.87973061924224361,0.89332671584406187,0.029212675765805728,0.029663890226271271,0.002656,1,0.002656,0,-,-
30,0.89332671584406187,0.90722908779059752,0.029212675765805728,0.029663890226271271,0.002689,1,0.002689,0,-,-
31,0.90722908779059752,0.92137462356982991,0.029212675765805728,0.029663890226271271,0.002724,1,0.002724,0,-,-
32,0.92137462356982991,0.93565413736122083,0.029212675765805728,0.029663890226271271,0.002760,1,0.002760,0,-,-
33,0.93565413736122083,0.95047821377382835,0.029212675765805728,0.029663890226271271,0.002799,1,0.002799,0,-,-
34,0.95047821377382835,0.96673961915725626,0.029212675765805728,0.029663890226271271,0.002836,1,0.002836,0,-,-
35,0.96673961915725626,0.98313052339649154,0.029212675765805728,0.029663890226271271,0.002877,1,0.002877,0,-,-
36,0.98313052339649154,1.0009999999999999,0.029212675765805728,0.029663890226271271,0.002618,1,0.002618,0,-,-
37,0.86628658652326695,0.87973061924224361,0.029663890226271271,0.03012397230426531,0.002656,1,0.002656,0,-,-
38,0.87973061924224361,0.89332671584406187,0.029663890226271271,0.03012397230426531,0.002690,1,0.002690,0,-,-
39,0.89332671584406187,0.90722908779059752,0.029663890226271271,0.03012397230426531,0.002725,1,0.002725,0,-,-
40,0.90722908779059752,0.92137462356982991,0.029663890226271271,0.03012397230426531,0.002761,1,0.002761,0,-,-
41,0.92137462356982991,0.93565413736122083,0.029663890226271271,0.03012397230426531,0.002800,1,0.002800,0,-,-
42,0.93565413736122083,0.95047821377382835,0.029663890226271271,0.03012397230426531,0.002841,1,0.002841,0,-,-
43,0.95047821377382835,0.96673961915725626,0.029663890226271271,0.03012397230426531,0.002881,1,0.002881,0,-,-
44,0.96673961915725626,0.98313052339649154,0.029663890226271271,0.03012397230426531,0.002925,1,0.002925,0,-,-
45,0.98313052339649154,1.0009999999999999,0.029663890226271271,0.03012397230426531,0.002968,1,0.002968,0,-,-
46,0.85298676164541531,0.86628658652326695,0.03012397230426531,0.030593376459584289,0.002656,1,0.002656,0,-,-
47,0.86628658652326695,0.87973061924224361,0.03012397230426531,0.030593376459584289,0.002690,1,0.002690,0,-,-
48,0.87973061924224361,0.89332671584406187,0.03012397230426531,0.030593376459584289,0.002725,1,0.002725,0,-,-
49,0.89332671584406187,0.90722908779059752,0.03012397230426531,0.030593376459584289,0.002762,1,0.002762,0,-,-
50,0.90722908779059752,0.92137462356982991,0.03012397230426531,0.030593376459584289,0.002801,1,0.002801,0,-,-
51,0.92137462356982991,0.93565413736122083,0.03012397230426531,0.030593376459584289,0.002842,1,0.002842,0,-,-
52,0.93565413736122083,0.95047821377382835,0.03012397230426531,0.030593376459584289,0.002886,1,0.002886,0,-,-
