idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
1,91.3394475925092,116.55966369829,164.405845006173,195.023545970281
2,91.3222067032712,116.57660220592,164.383883446241,195.045201502773
3,91.3048107556385,116.593384679994,164.361760979348,195.066706846464
4,91.2872598085202,116.610011062272,164.339477664015,195.088061943515
5,91.2695539211089,116.626481294568,164.31703355909,195.109266736102
6,91.2516931530114,116.642795318626,164.294428723914,195.130321166249
7,91.2336775639973,116.658953076367,164.271663218001,195.151225176149
8,91.2155072142392,116.674954509651,164.248737101344,195.171978707857
9,91.1971821641066,116.690799560481,164.225650434151,195.192581703554
10,91.1787024744194,116.706488170754,164.202403277173,195.213034105218
11,91.1600682062417,116.722020282461,164.178995691438,195.233335854896
12,91.1412794209184,116.737395837655,164.155427738295,195.253486894648
13,91.1223361801139,116.75261477841,164.131699479471,195.273487166504
14,91.1032385458615,116.767677046774,164.107810977127,195.293336612396
15,91.0839865804047,116.782582584925,164.083762293661,195.313035174364
16,91.0645803463856,116.797331334982,164.059553491947,195.332582794313
17,91.0450199066855,116.811923239169,164.035184635129,195.351979414215
18,91.0253053245576,116.826358239679,164.010655786794,195.371224975945
19,91.005436662673,116.840636279627,163.9859670099,195.390319422346
20,90.9854139865996,116.854757299572,163.961118370628,195.40926269338
21,90.9652373596016,116.86872124272,163.936109932634,195.428054731874
22,90.9449068460772,116.882528051483,163.910941760837,195.446695479734
23,90.9244225108733,116.896177668167,163.885613920701,195.465184878664
24,90.9037844190378,116.909670035215,163.860126477912,195.483522870483
25,90.8829926359662,116.923005095068,163.83447949857,195.501709396942
26,90.8620472273349,116.936182790223,163.808673049103,195.5197443998
27,90.8409482591638,116.949203063178,163.782707196346,195.537627820754
28,90.8196957977788,116.962065856464,163.756582007496,195.55535960148
29,90.798289909767,116.974771112694,163.730297550052,195.57293968369
30,90.7767306620952,116.987318774441,163.703853891969,195.590368008985
31,90.7550181219834,116.999708784367,163.677251101494,195.607644519012
32,90.7331523569939,117.011941085132,163.650489247285,195.624769155351
33,90.711133435036,117.02401561939,163.62356839841,195.641741859509
34,90.6889614242086,117.035932329947,163.596488624154,195.658562573122
35,90.6666363930518,117.04769115951,163.569249994334,195.675231237632
36,90.6441584103896,117.059292050841,163.541852579103,195.691747794486
37,90.621527545259,117.070734946832,163.514296448857,195.70811218523
38,90.5987438671408,117.082019790271,163.48658167453,195.724324351211
39,90.5758074457333,117.093146524071,163.45870832731,195.740384233869
40,90.5527183510603,117.104115091159,163.430676478768,195.756291774593
41,90.5294766534999,117.11492543445,163.402486200905,195.772046914691
42,90.5060824237076,117.125577496921,163.374137566048,195.787649595483
43,90.482535732692,117.13607122154,163.345630646946,195.803099758204
44,90.4588366516661,117.146406551408,163.316965516586,195.818397344198
45,90.4349852522965,117.156583429516,163.288142248508,195.833542294595
46,90.4109816064526,117.166601798991,163.259160916483,195.848534550633
47,90.3868257863795,117.176461602928,163.230021594739,195.863374053437
