i,j,inf_lam2,sup_lam2,inf_lam3,sup_lam3
1,5,61951.8112776222,66392.0949994972,66840.73420143,71553.451129086
2,5,61951.5637632255,66391.8289715766,66840.4640737849,71553.1606506088
3,5,61951.3162524605,66391.5629476477,66840.1939510017,71552.8701775205
4,5,61951.0687453268,66391.2969277102,66839.9238330801,71552.5797098204
5,5,61950.8212418245,66391.0309117642,66839.6537200203,71552.2892475089
6,5,61950.573741954,66390.7648998096,66839.383611822,71551.9987905856
7,5,61950.3262457147,66390.4988918463,66839.1135084854,71551.7083390505
8,5,61950.0787531065,66390.2328878744,66838.8434100099,71551.4178929034
9,5,61949.8312641297,66389.9668878934,66838.5733163957,71551.1274521442
10,5,61949.5837787839,66389.7008919037,66838.3032276423,71550.8370167727
11,5,61949.3362970694,66389.4348999047,66838.0331437502,71550.5465867888
12,5,61949.0888189858,66389.1689118967,66837.7630647188,71550.2561621925
13,5,61948.841344533,66388.9029278794,66837.4929905481,71549.9657429836
14,5,61948.5938737113,66388.6369478529,66837.2229212385,71549.6753291619
15,5,61948.3464065196,66388.3709718172,66836.9528567887,71549.3849207274
16,5,61948.0989429591,66388.104999772,66836.6827971996,71549.0945176798
17,5,61947.8514830294,66387.8390317173,66836.412742471,71548.804120019
18,5,61947.60402673,66387.5730676527,66836.1426926023,71548.5137277451
19,5,61947.356574061,66387.3071075785,66835.872647594,71548.2233408577
20,5,61947.1091250224,66387.0411514946,66835.6026074453,71547.9329593567
